"one","two","three","track"
"so","deep","ooh","Rocket"
"deep","ooh","my","Rocket"
"ooh","my","shit's","Rocket"
"my","shit's","so","Rocket"
"shit's","so","good","Rocket"
"so","good","it","Rocket"
"good","it","ain't","Rocket"
"it","ain't","even","Rocket"
"ain't","even","right","Rocket"
"even","right","i","Rocket"
"right","i","know","Rocket"
"i","know","i'm","Rocket"
"know","i'm","right","Rocket"
"i'm","right","hell","Rocket"
"right","hell","yeah","Rocket"
"hell","yeah","you","Rocket"
"yeah","you","the","Rocket"
"you","the","shit","Rocket"
"the","shit","that's","Rocket"
"shit","that's","why","Rocket"
"that's","why","you're","Rocket"
"why","you're","my","Rocket"
"you're","my","equivalent","Rocket"
"my","equivalent","so","Rocket"
"equivalent","so","sexy","Rocket"
"so","sexy","we're","Rocket"
"sexy","we're","so","Rocket"
"we're","so","much","Rocket"
"so","much","more","Rocket"
"much","more","than","Rocket"
"more","than","pointless","Rocket"
"than","pointless","fixtures","Rocket"
"pointless","fixtures","instagram","Rocket"
"fixtures","instagram","pictures","Rocket"
"instagram","pictures","consumers","Rocket"
"pictures","consumers","what","Rocket"
"consumers","what","about","Rocket"
"what","about","that","Rocket"
"about","that","ching-ching-ching","Rocket"
"that","ching-ching-ching","what","Rocket"
"ching-ching-ching","what","about","Rocket"
"what","about","that","Rocket"
"about","that","what","Rocket"
"that","what","about","Rocket"
"what","about","that","Rocket"
"about","that","ching","Rocket"
"that","ching","ching","Rocket"
"ching","ching","baby","Rocket"
"ching","baby","boomers","Rocket"
"baby","boomers","baby","Rocket"
"boomers","baby","baby","Rocket"
"baby","baby","baby","Rocket"
"baby","baby","baby","Rocket"
"baby","baby","baby","Rocket"
"baby","baby","baby","Rocket"
"baby","baby","cyclical","Rocket"
"baby","cyclical","trends","Rocket"
"cyclical","trends","tryna","Rocket"
"trends","tryna","fit","Rocket"
"tryna","fit","in","Rocket"
"fit","in","home","Rocket"
"in","home","is","Rocket"
"home","is","where","Rocket"
"is","where","the","Rocket"
"where","the","heart","Rocket"
"the","heart","is","Rocket"
"heart","is","goddammit","Rocket"
"is","goddammit","i'm","Rocket"
"goddammit","i'm","comfortable","Rocket"
"i'm","comfortable","in","Rocket"
"comfortable","in","my","Rocket"
"in","my","skin","Rocket"
"my","skin","and","Rocket"
"skin","and","you're","Rocket"
"and","you're","comfortable","Rocket"
"you're","comfortable","in","Rocket"
"comfortable","in","my","Rocket"
"in","my","skin","Rocket"
"my","skin","you","Rocket"
"skin","you","look","Rocket"
"you","look","so","Rocket"
"look","so","comfortable","Rocket"
"so","comfortable","in","Rocket"
"comfortable","in","my","Rocket"
"in","my","skin","Rocket"
"my","skin","skin","Rocket"
"skin","skin","skin","Rocket"
"skin","skin","rockets","Rocket"
"skin","rockets","'til","Rocket"
"rockets","'til","waterfalls","Rocket"
"'til","waterfalls",NA,"Rocket"
"waterfalls",NA,NA,"Rocket"
"girls","we","run","Run The World (Girls)"
"we","run","this","Run The World (Girls)"
"run","this","motha","Run The World (Girls)"
"this","motha","yeah","Run The World (Girls)"
"motha","yeah","girls","Run The World (Girls)"
"yeah","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha?","Run The World (Girls)"
"this","motha?","girls","Run The World (Girls)"
"motha?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","some","Run The World (Girls)"
"girls","some","of","Run The World (Girls)"
"some","of","them","Run The World (Girls)"
"of","them","men","Run The World (Girls)"
"them","men","think","Run The World (Girls)"
"men","think","they","Run The World (Girls)"
"think","they","freak","Run The World (Girls)"
"they","freak","this","Run The World (Girls)"
"freak","this","like","Run The World (Girls)"
"this","like","we","Run The World (Girls)"
"like","we","do","Run The World (Girls)"
"we","do","but","Run The World (Girls)"
"do","but","no","Run The World (Girls)"
"but","no","they","Run The World (Girls)"
"no","they","don't","Run The World (Girls)"
"they","don't","make","Run The World (Girls)"
"don't","make","your","Run The World (Girls)"
"make","your","check","Run The World (Girls)"
"your","check","come","Run The World (Girls)"
"check","come","at","Run The World (Girls)"
"come","at","they","Run The World (Girls)"
"at","they","neck","Run The World (Girls)"
"they","neck","disrespect","Run The World (Girls)"
"neck","disrespect","us","Run The World (Girls)"
"disrespect","us","no","Run The World (Girls)"
"us","no","they","Run The World (Girls)"
"no","they","won't","Run The World (Girls)"
"they","won't","boy","Run The World (Girls)"
"won't","boy","don't","Run The World (Girls)"
"boy","don't","even","Run The World (Girls)"
"don't","even","try","Run The World (Girls)"
"even","try","to","Run The World (Girls)"
"try","to","touch","Run The World (Girls)"
"to","touch","this","Run The World (Girls)"
"touch","this","boy","Run The World (Girls)"
"this","boy","this","Run The World (Girls)"
"boy","this","beat","Run The World (Girls)"
"this","beat","is","Run The World (Girls)"
"beat","is","crazy","Run The World (Girls)"
"is","crazy","this","Run The World (Girls)"
"crazy","this","is","Run The World (Girls)"
"this","is","how","Run The World (Girls)"
"is","how","they","Run The World (Girls)"
"how","they","made","Run The World (Girls)"
"they","made","me","Run The World (Girls)"
"made","me","houston","Run The World (Girls)"
"me","houston","texas","Run The World (Girls)"
"houston","texas","baby","Run The World (Girls)"
"texas","baby","this","Run The World (Girls)"
"baby","this","goes","Run The World (Girls)"
"this","goes","out","Run The World (Girls)"
"goes","out","to","Run The World (Girls)"
"out","to","all","Run The World (Girls)"
"to","all","my","Run The World (Girls)"
"all","my","girls","Run The World (Girls)"
"my","girls","that's","Run The World (Girls)"
"girls","that's","in","Run The World (Girls)"
"that's","in","the","Run The World (Girls)"
"in","the","club","Run The World (Girls)"
"the","club","rocking","Run The World (Girls)"
"club","rocking","the","Run The World (Girls)"
"rocking","the","latest","Run The World (Girls)"
"the","latest","who","Run The World (Girls)"
"latest","who","will","Run The World (Girls)"
"who","will","buy","Run The World (Girls)"
"will","buy","it","Run The World (Girls)"
"buy","it","for","Run The World (Girls)"
"it","for","themselves","Run The World (Girls)"
"for","themselves","and","Run The World (Girls)"
"themselves","and","get","Run The World (Girls)"
"and","get","more","Run The World (Girls)"
"get","more","money","Run The World (Girls)"
"more","money","later","Run The World (Girls)"
"money","later","i","Run The World (Girls)"
"later","i","think","Run The World (Girls)"
"i","think","i","Run The World (Girls)"
"think","i","need","Run The World (Girls)"
"i","need","a","Run The World (Girls)"
"need","a","barber","Run The World (Girls)"
"a","barber","none","Run The World (Girls)"
"barber","none","of","Run The World (Girls)"
"none","of","these","Run The World (Girls)"
"of","these","niggas","Run The World (Girls)"
"these","niggas","can","Run The World (Girls)"
"niggas","can","fade","Run The World (Girls)"
"can","fade","me","Run The World (Girls)"
"fade","me","i'm","Run The World (Girls)"
"me","i'm","so","Run The World (Girls)"
"i'm","so","good","Run The World (Girls)"
"so","good","with","Run The World (Girls)"
"good","with","this","Run The World (Girls)"
"with","this","i","Run The World (Girls)"
"this","i","remind","Run The World (Girls)"
"i","remind","you","Run The World (Girls)"
"remind","you","i'm","Run The World (Girls)"
"you","i'm","so","Run The World (Girls)"
"i'm","so","hood","Run The World (Girls)"
"so","hood","with","Run The World (Girls)"
"hood","with","this","Run The World (Girls)"
"with","this","boy","Run The World (Girls)"
"this","boy","i'm","Run The World (Girls)"
"boy","i'm","just","Run The World (Girls)"
"i'm","just","playing","Run The World (Girls)"
"just","playing","come","Run The World (Girls)"
"playing","come","here","Run The World (Girls)"
"come","here","baby","Run The World (Girls)"
"here","baby","hope","Run The World (Girls)"
"baby","hope","you","Run The World (Girls)"
"hope","you","still","Run The World (Girls)"
"you","still","like","Run The World (Girls)"
"still","like","me","Run The World (Girls)"
"like","me","f-","Run The World (Girls)"
"me","f-","you","Run The World (Girls)"
"f-","you","pay","Run The World (Girls)"
"you","pay","me","Run The World (Girls)"
"pay","me","my","Run The World (Girls)"
"me","my","persuasion","Run The World (Girls)"
"my","persuasion","can","Run The World (Girls)"
"persuasion","can","build","Run The World (Girls)"
"can","build","a","Run The World (Girls)"
"build","a","nation","Run The World (Girls)"
"a","nation","endless","Run The World (Girls)"
"nation","endless","power","Run The World (Girls)"
"endless","power","with","Run The World (Girls)"
"power","with","our","Run The World (Girls)"
"with","our","love","Run The World (Girls)"
"our","love","we","Run The World (Girls)"
"love","we","can","Run The World (Girls)"
"we","can","devour","Run The World (Girls)"
"can","devour","you'll","Run The World (Girls)"
"devour","you'll","do","Run The World (Girls)"
"you'll","do","anything","Run The World (Girls)"
"do","anything","for","Run The World (Girls)"
"anything","for","me","Run The World (Girls)"
"for","me","who","Run The World (Girls)"
"me","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha?","Run The World (Girls)"
"this","motha?","girls","Run The World (Girls)"
"motha?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","it's","Run The World (Girls)"
"girls","it's","hot","Run The World (Girls)"
"it's","hot","up","Run The World (Girls)"
"hot","up","in","Run The World (Girls)"
"up","in","here","Run The World (Girls)"
"in","here","dj","Run The World (Girls)"
"here","dj","don't","Run The World (Girls)"
"dj","don't","be","Run The World (Girls)"
"don't","be","scared","Run The World (Girls)"
"be","scared","to","Run The World (Girls)"
"scared","to","run","Run The World (Girls)"
"to","run","this","Run The World (Girls)"
"run","this","run","Run The World (Girls)"
"this","run","this","Run The World (Girls)"
"run","this","back","Run The World (Girls)"
"this","back","i'm","Run The World (Girls)"
"back","i'm","reppin'","Run The World (Girls)"
"i'm","reppin'","for","Run The World (Girls)"
"reppin'","for","the","Run The World (Girls)"
"for","the","girls","Run The World (Girls)"
"the","girls","who","Run The World (Girls)"
"girls","who","taking","Run The World (Girls)"
"who","taking","over","Run The World (Girls)"
"taking","over","the","Run The World (Girls)"
"over","the","world","Run The World (Girls)"
"the","world","help","Run The World (Girls)"
"world","help","me","Run The World (Girls)"
"help","me","raise","Run The World (Girls)"
"me","raise","a","Run The World (Girls)"
"raise","a","glass","Run The World (Girls)"
"a","glass","for","Run The World (Girls)"
"glass","for","the","Run The World (Girls)"
"for","the","college","Run The World (Girls)"
"the","college","grads","Run The World (Girls)"
"college","grads","41","Run The World (Girls)"
"grads","41","rollin'","Run The World (Girls)"
"41","rollin'","to","Run The World (Girls)"
"rollin'","to","let","Run The World (Girls)"
"to","let","you","Run The World (Girls)"
"let","you","know","Run The World (Girls)"
"you","know","what","Run The World (Girls)"
"know","what","time","Run The World (Girls)"
"what","time","it","Run The World (Girls)"
"time","it","is","Run The World (Girls)"
"it","is","check","Run The World (Girls)"
"is","check","you","Run The World (Girls)"
"check","you","can't","Run The World (Girls)"
"you","can't","hold","Run The World (Girls)"
"can't","hold","me","Run The World (Girls)"
"hold","me","you","Run The World (Girls)"
"me","you","can't","Run The World (Girls)"
"you","can't","hold","Run The World (Girls)"
"can't","hold","me","Run The World (Girls)"
"hold","me","i","Run The World (Girls)"
"me","i","work","Run The World (Girls)"
"i","work","my","Run The World (Girls)"
"work","my","9","Run The World (Girls)"
"my","9","to","Run The World (Girls)"
"9","to","5","Run The World (Girls)"
"to","5","better","Run The World (Girls)"
"5","better","cut","Run The World (Girls)"
"better","cut","my","Run The World (Girls)"
"cut","my","check","Run The World (Girls)"
"my","check","this","Run The World (Girls)"
"check","this","goes","Run The World (Girls)"
"this","goes","out","Run The World (Girls)"
"goes","out","to","Run The World (Girls)"
"out","to","all","Run The World (Girls)"
"to","all","the","Run The World (Girls)"
"all","the","women","Run The World (Girls)"
"the","women","getting","Run The World (Girls)"
"women","getting","it","Run The World (Girls)"
"getting","it","in","Run The World (Girls)"
"it","in","you're","Run The World (Girls)"
"in","you're","on","Run The World (Girls)"
"you're","on","your","Run The World (Girls)"
"on","your","grind","Run The World (Girls)"
"your","grind","to","Run The World (Girls)"
"grind","to","other","Run The World (Girls)"
"to","other","men","Run The World (Girls)"
"other","men","that","Run The World (Girls)"
"men","that","respect","Run The World (Girls)"
"that","respect","what","Run The World (Girls)"
"respect","what","i","Run The World (Girls)"
"what","i","do","Run The World (Girls)"
"i","do","please","Run The World (Girls)"
"do","please","accept","Run The World (Girls)"
"please","accept","my","Run The World (Girls)"
"accept","my","shine","Run The World (Girls)"
"my","shine","boy","Run The World (Girls)"
"shine","boy","i","Run The World (Girls)"
"boy","i","know","Run The World (Girls)"
"i","know","you","Run The World (Girls)"
"know","you","love","Run The World (Girls)"
"you","love","it","Run The World (Girls)"
"love","it","how","Run The World (Girls)"
"it","how","we're","Run The World (Girls)"
"how","we're","smart","Run The World (Girls)"
"we're","smart","enough","Run The World (Girls)"
"smart","enough","to","Run The World (Girls)"
"enough","to","make","Run The World (Girls)"
"to","make","these","Run The World (Girls)"
"make","these","millions","Run The World (Girls)"
"these","millions","strong","Run The World (Girls)"
"millions","strong","enough","Run The World (Girls)"
"strong","enough","to","Run The World (Girls)"
"enough","to","bear","Run The World (Girls)"
"to","bear","the","Run The World (Girls)"
"bear","the","children","Run The World (Girls)"
"the","children","then","Run The World (Girls)"
"children","then","get","Run The World (Girls)"
"then","get","back","Run The World (Girls)"
"get","back","to","Run The World (Girls)"
"back","to","business","Run The World (Girls)"
"to","business","see","Run The World (Girls)"
"business","see","you","Run The World (Girls)"
"see","you","better","Run The World (Girls)"
"you","better","not","Run The World (Girls)"
"better","not","play","Run The World (Girls)"
"not","play","me","Run The World (Girls)"
"play","me","oh","Run The World (Girls)"
"me","oh","come","Run The World (Girls)"
"oh","come","here","Run The World (Girls)"
"come","here","baby","Run The World (Girls)"
"here","baby","hope","Run The World (Girls)"
"baby","hope","you","Run The World (Girls)"
"hope","you","still","Run The World (Girls)"
"you","still","like","Run The World (Girls)"
"still","like","me","Run The World (Girls)"
"like","me","f-","Run The World (Girls)"
"me","f-","you","Run The World (Girls)"
"f-","you","hate","Run The World (Girls)"
"you","hate","me","Run The World (Girls)"
"hate","me","my","Run The World (Girls)"
"me","my","persuasion","Run The World (Girls)"
"my","persuasion","can","Run The World (Girls)"
"persuasion","can","build","Run The World (Girls)"
"can","build","a","Run The World (Girls)"
"build","a","nation","Run The World (Girls)"
"a","nation","endless","Run The World (Girls)"
"nation","endless","power","Run The World (Girls)"
"endless","power","with","Run The World (Girls)"
"power","with","our","Run The World (Girls)"
"with","our","love","Run The World (Girls)"
"our","love","we","Run The World (Girls)"
"love","we","can","Run The World (Girls)"
"we","can","devour","Run The World (Girls)"
"can","devour","you'll","Run The World (Girls)"
"devour","you'll","do","Run The World (Girls)"
"you'll","do","anything","Run The World (Girls)"
"do","anything","for","Run The World (Girls)"
"anything","for","me","Run The World (Girls)"
"for","me","who","Run The World (Girls)"
"me","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha?","Run The World (Girls)"
"this","motha?","girls","Run The World (Girls)"
"motha?","girls","who","Run The World (Girls)"
"girls","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls","who","Run The World (Girls)"
"girls","who","are","Run The World (Girls)"
"who","are","we?","Run The World (Girls)"
"are","we?","what","Run The World (Girls)"
"we?","what","we","Run The World (Girls)"
"what","we","run?","Run The World (Girls)"
"we","run?","the","Run The World (Girls)"
"run?","the","world","Run The World (Girls)"
"the","world","who","Run The World (Girls)"
"world","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha","Run The World (Girls)"
"this","motha","yeah","Run The World (Girls)"
"motha","yeah","who","Run The World (Girls)"
"yeah","who","are","Run The World (Girls)"
"who","are","we?","Run The World (Girls)"
"are","we?","what","Run The World (Girls)"
"we?","what","we","Run The World (Girls)"
"what","we","run?","Run The World (Girls)"
"we","run?","the","Run The World (Girls)"
"run?","the","world","Run The World (Girls)"
"the","world","who","Run The World (Girls)"
"world","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha","Run The World (Girls)"
"this","motha","yeah","Run The World (Girls)"
"motha","yeah","who","Run The World (Girls)"
"yeah","who","are","Run The World (Girls)"
"who","are","we?","Run The World (Girls)"
"are","we?","what","Run The World (Girls)"
"we?","what","do","Run The World (Girls)"
"what","do","we","Run The World (Girls)"
"do","we","run?","Run The World (Girls)"
"we","run?","we","Run The World (Girls)"
"run?","we","run","Run The World (Girls)"
"we","run","the","Run The World (Girls)"
"run","the","world","Run The World (Girls)"
"the","world","who","Run The World (Girls)"
"world","who","run","Run The World (Girls)"
"who","run","this","Run The World (Girls)"
"run","this","motha","Run The World (Girls)"
"this","motha","yeah","Run The World (Girls)"
"motha","yeah","who","Run The World (Girls)"
"yeah","who","are","Run The World (Girls)"
"who","are","we?","Run The World (Girls)"
"are","we?","what","Run The World (Girls)"
"we?","what","we","Run The World (Girls)"
"what","we","run?","Run The World (Girls)"
"we","run?","we","Run The World (Girls)"
"run?","we","run","Run The World (Girls)"
"we","run","the","Run The World (Girls)"
"run","the","world","Run The World (Girls)"
"the","world","who","Run The World (Girls)"
"world","who","run","Run The World (Girls)"
"who","run","the","Run The World (Girls)"
"run","the","world?","Run The World (Girls)"
"the","world?","girls","Run The World (Girls)"
"world?","girls",NA,"Run The World (Girls)"
"girls",NA,NA,"Run The World (Girls)"
"satellites","flashing","by","Satellites"
"flashing","by","it's","Satellites"
"by","it's","a","Satellites"
"it's","a","beautiful","Satellites"
"a","beautiful","state","Satellites"
"beautiful","state","were","Satellites"
"state","were","in","Satellites"
"were","in","but","Satellites"
"in","but","how","Satellites"
"but","how","can","Satellites"
"how","can","we","Satellites"
"can","we","love","Satellites"
"we","love","in","Satellites"
"love","in","isolation?","Satellites"
"in","isolation?","think","Satellites"
"isolation?","think","how","Satellites"
"think","how","happy","Satellites"
"how","happy","we","Satellites"
"happy","we","can","Satellites"
"we","can","be","Satellites"
"can","be","when","Satellites"
"be","when","we","Satellites"
"when","we","just","Satellites"
"we","just","try","Satellites"
"just","try","we're","Satellites"
"try","we're","nothing","Satellites"
"we're","nothing","like","Satellites"
"nothing","like","we","Satellites"
"like","we","seem","Satellites"
"we","seem","passionate","Satellites"
"seem","passionate","words","Satellites"
"passionate","words","are","Satellites"
"words","are","never","Satellites"
"are","never","spoken","Satellites"
"never","spoken","you","Satellites"
"spoken","you","don't","Satellites"
"you","don't","know","Satellites"
"don't","know","how","Satellites"
"know","how","i","Satellites"
"how","i","bleed","Satellites"
"i","bleed","when","Satellites"
"bleed","when","i","Satellites"
"when","i","leave","Satellites"
"i","leave","your","Satellites"
"leave","your","side","Satellites"
"your","side","in","Satellites"
"side","in","your","Satellites"
"in","your","eyes","Satellites"
"your","eyes","love's","Satellites"
"eyes","love's","alive","Satellites"
"love's","alive","i've","Satellites"
"alive","i've","come","Satellites"
"i've","come","untied","Satellites"
"come","untied","'cause","Satellites"
"untied","'cause","we're","Satellites"
"'cause","we're","flashing","Satellites"
"we're","flashing","by","Satellites"
"flashing","by","like","Satellites"
"by","like","satellites","Satellites"
"like","satellites","satellites","Satellites"
"satellites","satellites","take","Satellites"
"satellites","take","all","Satellites"
"take","all","the","Satellites"
"all","the","rules","Satellites"
"the","rules","away","Satellites"
"rules","away","how","Satellites"
"away","how","can","Satellites"
"how","can","we","Satellites"
"can","we","live","Satellites"
"we","live","if","Satellites"
"live","if","we","Satellites"
"if","we","don't","Satellites"
"we","don't","change?","Satellites"
"don't","change?","we're","Satellites"
"change?","we're","always","Satellites"
"we're","always","on","Satellites"
"always","on","display","Satellites"
"on","display","let's","Satellites"
"display","let's","run","Satellites"
"let's","run","and","Satellites"
"run","and","hide","Satellites"
"and","hide","in","Satellites"
"hide","in","our","Satellites"
"in","our","eyes","Satellites"
"our","eyes","love's","Satellites"
"eyes","love's","alive","Satellites"
"love's","alive","we've","Satellites"
"alive","we've","come","Satellites"
"we've","come","untied","Satellites"
"come","untied","'cause","Satellites"
"untied","'cause","we're","Satellites"
"'cause","we're","flashing","Satellites"
"we're","flashing","by","Satellites"
"flashing","by","like","Satellites"
"by","like","satellites","Satellites"
"like","satellites","satellites","Satellites"
"satellites","satellites","if","Satellites"
"satellites","if","we","Satellites"
"if","we","don't","Satellites"
"we","don't","communicate","Satellites"
"don't","communicate","we'll","Satellites"
"communicate","we'll","exist","Satellites"
"we'll","exist","in","Satellites"
"exist","in","our","Satellites"
"in","our","own","Satellites"
"our","own","space","Satellites"
"own","space","we","Satellites"
"space","we","have","Satellites"
"we","have","all","Satellites"
"have","all","the","Satellites"
"all","the","love","Satellites"
"the","love","we","Satellites"
"love","we","need","Satellites"
"we","need","while","Satellites"
"need","while","we're","Satellites"
"while","we're","apart","Satellites"
"we're","apart","i","Satellites"
"apart","i","cannot","Satellites"
"i","cannot","breathe","Satellites"
"cannot","breathe","satellites","Satellites"
"breathe","satellites","flashing","Satellites"
"satellites","flashing","by","Satellites"
"flashing","by","satellites","Satellites"
"by","satellites",NA,"Satellites"
"satellites",NA,NA,"Satellites"
"i","lay","alone","Save The Hero"
"lay","alone","awake","Save The Hero"
"alone","awake","at","Save The Hero"
"awake","at","night","Save The Hero"
"at","night","sorrow","Save The Hero"
"night","sorrow","fills","Save The Hero"
"sorrow","fills","my","Save The Hero"
"fills","my","eyes","Save The Hero"
"my","eyes","but","Save The Hero"
"eyes","but","i'm","Save The Hero"
"but","i'm","not","Save The Hero"
"i'm","not","strong","Save The Hero"
"not","strong","enough","Save The Hero"
"strong","enough","to","Save The Hero"
"enough","to","cry","Save The Hero"
"to","cry","despite","Save The Hero"
"cry","despite","of","Save The Hero"
"despite","of","my","Save The Hero"
"of","my","disguise","Save The Hero"
"my","disguise","i'm","Save The Hero"
"disguise","i'm","left","Save The Hero"
"i'm","left","with","Save The Hero"
"left","with","no","Save The Hero"
"with","no","shoulder","Save The Hero"
"no","shoulder","but","Save The Hero"
"shoulder","but","everybody","Save The Hero"
"but","everybody","wants","Save The Hero"
"everybody","wants","to","Save The Hero"
"wants","to","lean","Save The Hero"
"to","lean","on","Save The Hero"
"lean","on","me","Save The Hero"
"on","me","i","Save The Hero"
"me","i","guess","Save The Hero"
"i","guess","i'm","Save The Hero"
"guess","i'm","their","Save The Hero"
"i'm","their","soldier","Save The Hero"
"their","soldier","well","Save The Hero"
"soldier","well","who's","Save The Hero"
"well","who's","gonna","Save The Hero"
"who's","gonna","be","Save The Hero"
"gonna","be","mine","Save The Hero"
"be","mine","who's","Save The Hero"
"mine","who's","there","Save The Hero"
"who's","there","to","Save The Hero"
"there","to","save","Save The Hero"
"to","save","the","Save The Hero"
"save","the","hero","Save The Hero"
"the","hero","when","Save The Hero"
"hero","when","she's","Save The Hero"
"when","she's","left","Save The Hero"
"she's","left","all","Save The Hero"
"left","all","alone","Save The Hero"
"all","alone","and","Save The Hero"
"alone","and","she's","Save The Hero"
"and","she's","crying","Save The Hero"
"she's","crying","out","Save The Hero"
"crying","out","for","Save The Hero"
"out","for","help","Save The Hero"
"for","help","who's","Save The Hero"
"help","who's","there","Save The Hero"
"who's","there","to","Save The Hero"
"there","to","save","Save The Hero"
"to","save","the","Save The Hero"
"save","the","hero","Save The Hero"
"the","hero","who's","Save The Hero"
"hero","who's","there","Save The Hero"
"who's","there","to","Save The Hero"
"there","to","save","Save The Hero"
"to","save","the","Save The Hero"
"save","the","girl","Save The Hero"
"the","girl","after","Save The Hero"
"girl","after","she","Save The Hero"
"after","she","saves","Save The Hero"
"she","saves","the","Save The Hero"
"saves","the","world","Save The Hero"
"the","world","after","Save The Hero"
"world","after","she","Save The Hero"
"after","she","saves","Save The Hero"
"she","saves","the","Save The Hero"
"saves","the","world","Save The Hero"
"the","world","i","Save The Hero"
"world","i","bottle","Save The Hero"
"i","bottle","all","Save The Hero"
"bottle","all","my","Save The Hero"
"all","my","hurt","Save The Hero"
"my","hurt","inside","Save The Hero"
"hurt","inside","i","Save The Hero"
"inside","i","guess","Save The Hero"
"i","guess","i'm","Save The Hero"
"guess","i'm","living","Save The Hero"
"i'm","living","in","Save The Hero"
"living","in","lie","Save The Hero"
"in","lie","inside","Save The Hero"
"lie","inside","my","Save The Hero"
"inside","my","mind","Save The Hero"
"my","mind","each","Save The Hero"
"mind","each","day","Save The Hero"
"each","day","i","Save The Hero"
"day","i","die","Save The Hero"
"i","die","what","Save The Hero"
"die","what","can","Save The Hero"
"what","can","bring","Save The Hero"
"can","bring","me","Save The Hero"
"bring","me","back","Save The Hero"
"me","back","to","Save The Hero"
"back","to","life?","Save The Hero"
"to","life?","a","Save The Hero"
"life?","a","simple","Save The Hero"
"a","simple","word","Save The Hero"
"simple","word","a","Save The Hero"
"word","a","gesture","Save The Hero"
"a","gesture","someone","Save The Hero"
"gesture","someone","to","Save The Hero"
"someone","to","say","Save The Hero"
"to","say","you're","Save The Hero"
"say","you're","beautiful","Save The Hero"
"you're","beautiful","come","Save The Hero"
"beautiful","come","find","Save The Hero"
"come","find","this","Save The Hero"
"find","this","buried","Save The Hero"
"this","buried","treasure","Save The Hero"
"buried","treasure","rainbows","Save The Hero"
"treasure","rainbows","lead","Save The Hero"
"rainbows","lead","to","Save The Hero"
"lead","to","a","Save The Hero"
"to","a","pot","Save The Hero"
"a","pot","of","Save The Hero"
"pot","of","gold","Save The Hero"
"of","gold","i've","Save The Hero"
"gold","i've","given","Save The Hero"
"i've","given","too","Save The Hero"
"given","too","much","Save The Hero"
"too","much","of","Save The Hero"
"much","of","myself","Save The Hero"
"of","myself","and","Save The Hero"
"myself","and","now","Save The Hero"
"and","now","it's","Save The Hero"
"now","it's","driving","Save The Hero"
"it's","driving","me","Save The Hero"
"driving","me","crazy","Save The Hero"
"me","crazy","i'm","Save The Hero"
"crazy","i'm","crying","Save The Hero"
"i'm","crying","out","Save The Hero"
"crying","out","for","Save The Hero"
"out","for","help","Save The Hero"
"for","help","sometimes","Save The Hero"
"help","sometimes","i","Save The Hero"
"sometimes","i","wish","Save The Hero"
"i","wish","someone","Save The Hero"
"wish","someone","would","Save The Hero"
"someone","would","just","Save The Hero"
"would","just","come","Save The Hero"
"just","come","here","Save The Hero"
"come","here","and","Save The Hero"
"here","and","save","Save The Hero"
"and","save","me","Save The Hero"
"save","me","save","Save The Hero"
"me","save","me","Save The Hero"
"save","me","from","Save The Hero"
"me","from","myself","Save The Hero"
"from","myself",NA,"Save The Hero"
"myself",NA,NA,"Save The Hero"
"i'm","in","this","Scared Of Lonely"
"in","this","fight","Scared Of Lonely"
"this","fight","and","Scared Of Lonely"
"fight","and","i'm","Scared Of Lonely"
"and","i'm","swinging","Scared Of Lonely"
"i'm","swinging","and","Scared Of Lonely"
"swinging","and","my","Scared Of Lonely"
"and","my","arms","Scared Of Lonely"
"my","arms","are","Scared Of Lonely"
"arms","are","getting","Scared Of Lonely"
"are","getting","tired","Scared Of Lonely"
"getting","tired","it's","Scared Of Lonely"
"tired","it's","hard","Scared Of Lonely"
"it's","hard","i'm","Scared Of Lonely"
"hard","i'm","trying","Scared Of Lonely"
"i'm","trying","to","Scared Of Lonely"
"trying","to","beat","Scared Of Lonely"
"to","beat","this","Scared Of Lonely"
"beat","this","emptiness","Scared Of Lonely"
